Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Churn Value,CLTV
1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,1,3239
0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,1,2701
0,0,0,1,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,1,5372
0,0,1,1,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,1,5003
1,0,0,1,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,1,5340
0,0,1,0,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,1,5925
1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,1,5433
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,1,4832
1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,1,5789
1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,1,2915
0,0,0,0,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,1,3022
1,0,0,1,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,1,2454
1,0,0,1,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,1,2941
0,0,0,1,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,1,5674
0,0,0,1,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,1,5586
0,0,0,1,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,1,2966
0,1,1,1,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,1,5302
1,1,0,1,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1,3179
0,0,0,1,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,1,5571
0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,1,2483
0,0,1,1,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,1,3457
0,0,0,1,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,1,5806
1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,1,2604
0,1,1,1,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,1,5337
1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,1,5034
1,0,1,1,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,1,5154
0,1,1,1,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,1,2793
